Year,Genre,MIR_pc_1,MIR_pc_2,lyric_pc_1,lyric_pc_2,lyric_range,MIR_range
1974,R&B,-26.97399798635469,-4.900027113567677,-0.059796550905691165,-0.26926459474649017,20.287366390228268,7.934999164258017
1975,R&B,-22.643094927666656,-5.694634461728137,-0.4454639371353903,-0.5539177693120385,23.00593328475952,9.385545424406013
1976,R&B,-20.674816668776895,-2.529864855906611,-0.26169056320320266,-0.9543487625331121,20.232688903808594,4.97703456054426
1977,R&B,-14.644272158960561,4.5963598716337835,-0.3636496831958339,-0.9443500382855463,22.23654413223267,5.979863934124871
1978,R&B,-11.951474661737443,-1.356115392945392,-0.43498924740637473,-1.0998910291935398,16.90322732925415,7.874171747239607
1979,R&B,-3.616456475296881,2.773276171995786,-0.4317160811690159,-1.3672700684734294,16.36183738708496,8.170391573228937
1980,R&B,-1.830163432897981,0.30366998329672956,-1.2342283456381509,-0.7407368721113545,17.573678970336914,8.248173206555608
1981,R&B,0.8293517546663888,-3.742633661950792,-1.5131550710494066,-0.7677716567187165,17.302001953125,4.3609593070724095
1982,R&B,2.0120506992276845,-2.1512324765614337,0.049877131869034766,-0.9002532301232439,18.114335060119632,3.7008360238742797
1983,R&B,10.000132674806867,-1.2620596060607048,-1.180078782408685,-1.2073670780466528,17.512994766235348,6.243786977469088
1984,R&B,10.177736660307374,1.76641549982887,-1.032521836661753,-1.1543981755899686,11.919705390930176,3.5108473163628515
1985,R&B,12.171335534142761,2.563622936933548,-0.9280556499001985,-1.0014517768678084,16.224534034729,4.024446302863022
1986,R&B,18.41957907212573,-2.7980637309083405,-1.3252933418989006,-0.9744946300264944,16.587802886962894,6.490992840550426
1987,R&B,18.252655834115046,-2.2934515425525714,-1.4055569308898537,-0.8105061100537003,12.049041748046875,3.676873856829978
1988,R&B,19.977176838288933,-2.114732654598249,-1.3664162437883234,-0.9059720659472565,12.6043062210083,5.166924480198877
1989,R&B,23.19786171373536,2.6764512004323544,-1.4191577215586513,-1.069539946606775,19.64255523681641,8.163676288352839
1990,R&B,27.101421656013304,0.3945558836550253,-1.461368256211755,-1.1214536323841309,12.71875953674317,6.425899661269912
1991,R&B,26.318326828645983,-1.4286104199357499,-1.3788629110898505,-1.0895540544631799,11.055170059204103,5.685744163572389
1992,R&B,26.073866758046396,-1.317130226885466,-1.3676149376301558,-1.1714387617564357,15.510459899902346,10.216979607516855
1993,R&B,29.918471282726173,-0.441325896312433,-1.1442111439898992,-1.6021358943994124,19.644657135009766,7.345726230211039
1994,R&B,31.782334549650475,2.9581591187692418,-0.9659287163177553,-1.655397496883898,12.524806022644045,3.82941691248838
1995,R&B,23.415245792870074,-2.3631708266279428,-1.2599330570806544,-1.7171210078844032,12.912927627563475,3.620237318103228
1996,R&B,33.850409167758045,-4.54990186113019,-0.5454490688080017,-1.306615590642383,11.362631797790527,6.2724751514674
